pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
247,pupitar,pupitar,generation-iii,emerald,front_default,pokemon/pupitar/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/247.png
248,tyranitar,tyranitar,generation-iii,emerald,front_default,pokemon/tyranitar/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/248.png
249,lugia,lugia,generation-iii,emerald,front_default,pokemon/lugia/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/249.png
250,ho-oh,ho_oh,generation-iii,emerald,front_default,pokemon/ho_oh/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/250.png
251,celebi,celebi,generation-iii,emerald,front_default,pokemon/celebi/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/251.png
252,treecko,treecko,generation-iii,emerald,front_default,pokemon/treecko/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/252.png
253,grovyle,grovyle,generation-iii,emerald,front_default,pokemon/grovyle/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/253.png
254,sceptile,sceptile,generation-iii,emerald,front_default,pokemon/sceptile/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/254.png
255,torchic,torchic,generation-iii,emerald,front_default,pokemon/torchic/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/255.png
256,combusken,combusken,generation-iii,emerald,front_default,pokemon/combusken/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/256.png
257,blaziken,blaziken,generation-iii,emerald,front_default,pokemon/blaziken/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/257.png
258,mudkip,mudkip,generation-iii,emerald,front_default,pokemon/mudkip/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/258.png
259,marshtomp,marshtomp,generation-iii,emerald,front_default,pokemon/marshtomp/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/259.png
260,swampert,swampert,generation-iii,emerald,front_default,pokemon/swampert/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/260.png
261,poochyena,poochyena,generation-iii,emerald,front_default,pokemon/poochyena/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/261.png
262,mightyena,mightyena,generation-iii,emerald,front_default,pokemon/mightyena/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/262.png
263,zigzagoon,zigzagoon,generation-iii,emerald,front_default,pokemon/zigzagoon/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/263.png
264,linoone,linoone,generation-iii,emerald,front_default,pokemon/linoone/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/264.png
265,wurmple,wurmple,generation-iii,emerald,front_default,pokemon/wurmple/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/265.png
266,silcoon,silcoon,generation-iii,emerald,front_default,pokemon/silcoon/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/266.png
267,beautifly,beautifly,generation-iii,emerald,front_default,pokemon/beautifly/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/267.png
268,cascoon,cascoon,generation-iii,emerald,front_default,pokemon/cascoon/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/268.png
269,dustox,dustox,generation-iii,emerald,front_default,pokemon/dustox/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/269.png
270,lotad,lotad,generation-iii,emerald,front_default,pokemon/lotad/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/270.png
